,Job Title,Company,Date Posted,Post Link,Description
41,Product Developer,UBS,Posted11 days ago,https://ie.indeed.com/rc/clk?jk=5c8510c3fa4c9361&fccid=1c76c3a36f6c7557&vjs=3,"Lead launch projects focusing on Equity, Fixed Income and Multi Asset traditional funds diving into activities including portfolio management, regulatory,…"
42,Full Stack Developer,3 Ireland,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=118cbd44102ccd2c&fccid=a3af0ea23e623ebf&vjs=3,"Three Ireland`s Digital team helps develop highly custom websites and digital services and solutions with innovative features that function flawlessly, each and…"
43,Software Engineering: Full Time Opportunities for University...,Microsoft,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=e08d72baa6eb6421&fccid=734cb5a01ee60f80&vjs=3,"Software engineers (SWEs) work with teammates to solve problems and build innovative software solutions.You are passionate about customers and product quality,…"
44,Front End Developer,DEPT®,Posted16 days ago,https://ie.indeed.com/rc/clk?jk=04882903123c0d4a&fccid=8b05e8367ae5814d&vjs=3,"2+ years front end development experience.Experience with modern JavaScript & TypeScript frameworks, we primarily use React and Nextjs but also have some…"
45,"1 Year, Day Rate - .net Developer",Ergo,Posted3 days ago,https://ie.indeed.com/rc/clk?jk=a23f1bed3dea55f5&fccid=074555cbff44af1b&vjs=3,"Job Title: 1 Year, Day Rate - .net Developer.Ergo are currently seeking to recruit a .net Developer for a 1 years day rate contract that should renew."
46,Backend Developer (Remote),Layer,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=7a3440cab743a5b3&fccid=dec865029797a382&vjs=3,Our platform gives financial institutions the speed and flexibility to deliver far superior customer experiences with an increased set of digital capabilities…
47,Developer,PROVIDENT C.R.M.,Posted3 days ago,https://ie.indeed.com/rc/clk?jk=98505dd6548f84b6&fccid=1e9b3e71293423cb&vjs=3,"As a member of the Provident CRM Delivery team, the Developer plays a major part in designing, delivering and maintaining our customer’s software systems."
48,Junior BackEnd Engineer,Rebrandly,Posted30+ days ago,https://ie.indeed.com/company/Rebrandly/jobs/Junior-Backend-Engineer-a38d73d018716630?fccid=d7e7957edc72c83a&vjs=3,Develop endpoints to support existing event-driven architecture.Improve overall integration tests coverage.Bachelor’s degree in Computer Science or equivalent…
49,Junior Full Stack Software Developer,Eurofins Ireland,Posted15 days ago,https://ie.indeed.com/rc/clk?jk=c60707e48757d868&fccid=0103b659ed7b1a80&vjs=3,You will working alongside Full Stack Developers with several years of experience and you will be exposed to the most up-to-date Software Development…
50,Front End Developer,SoftwareONE,Posted11 days ago,https://ie.indeed.com/rc/clk?jk=59eac553ca9a711e&fccid=087aaf21c7121482&vjs=3,"Insights will allow customers to benchmark their maturity in the space of spend and technology, while Digital will revolutionize how customers will interact…"
51,T24 Developer,Link Group,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=4a57d678da88ee6f&fccid=7ab5f4f72fdce966&vjs=3,T24 is the main core banking system underpinning most of the solutions provided by Link Group in Ireland.This role will develop new T24 functionality based on…
52,FULL STACK SOFTWARE ENGINEER,DraftKings,Posted30 days ago,https://ie.indeed.com/rc/clk?jk=02340d8ad486db7d&fccid=2b2d6f212948082d&vjs=3,You will be assigned directly to one of these teams and will work alongside senior engineers responsible for bringing you up to speed.
53,Content Developer,Microsoft,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=9d16a5b5355a905e&fccid=734cb5a01ee60f80&vjs=3,Background as a developer or as someone in a DevOps role is helpful.You’ll use your writing expertise to help create a range of content across modalities:…
54,Software Developer,Accenture,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=815e31c37a996d10&fccid=a4e4e2eaf26690c9&vjs=3,"You will work closely with our clients typically using modern agile work practices.An honors degree or post-graduate qualification in computer science,…"
55,Software Engineering - Python,"JPMorgan Chase Bank, N.A.",Posted6 days ago,https://ie.indeed.com/rc/clk?jk=cdae2fd27144e861&fccid=aaf3b433897ea465&vjs=3,"BS/BA degree or equivalent experience.Advanced knowledge of application, data, and infrastructure architecture disciplines."
56,"ICG Graduate Software Engineer, Dublin (Europe, Middle East...",Citi,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=3cb3b8becf7e7592&fccid=5bcd1ef0a7f4fb99&vjs=3,"Graduate Software Engineer’s participate in an intensive training program, where they receive in-depth education to learn the fundamentals of the application…"
57,Java Developer,Zurich Insurance,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=e706db5d9c1634d5&fccid=40f6e1ba1aac8472&vjs=3,4-5 years plus experience in a similar Java/J2EE software developer role.Zurich Life Ireland’s IT department is comprised of ten competency centres reporting…
58,"UI Developer (Spotfire, JavaScript)",Idiro Analytics,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=839cdef3cec70065&fccid=57c2ac5a53552854&vjs=3,"We are looking for a creative, skilled UI developer to prototype visualization-heavy applications in Spotfire, and potentially productionizing one or more of…"
59,Full Stack Developer - Ireland Remote,Medable,Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=904592895c3fc355&fccid=ac335809a76fe9e0&vjs=3,"We provide an end-to-end, cloud-based platform with a flexible suite of tools that allows patients, healthcare providers, clinical research organizations and…"
60,Zurich Insurance,Zurich Insurance,Posted30+ days ago,https://ie.indeed.com/cmp/Zurich-Insurance-9,4-5 years plus experience in a similar Java/J2EE software developer role.Zurich Life Ireland’s IT department is comprised of ten competency centres reporting…
61,Idiro Analytics jobs,Idiro Analytics,Posted30+ days ago,https://ie.indeed.com/Idiro-Analytics-jobs,"We are looking for a creative, skilled UI developer to prototype visualization-heavy applications in Spotfire, and potentially productionizing one or more of…"
62,Medable jobs,Medable,Posted30+ days ago,https://ie.indeed.com/Medable-jobs,"We provide an end-to-end, cloud-based platform with a flexible suite of tools that allows patients, healthcare providers, clinical research organizations and…"
63,"JPMorgan Chase Bank, N.A. jobs","JPMorgan Chase Bank, N.A.",Posted8 days ago,"https://ie.indeed.com/JPMorgan-Chase-Bank,-N.a.-jobs","Working as full stack Java developer on technologies like ReactJS, Java, Spring, Oracle, MQ and whole range of SDLC toolset including CI/CD."
64,Clifden Recruitment jobs,Clifden Recruitment,Posted30+ days ago,https://ie.indeed.com/Clifden-Recruitment-jobs,A rapidly growing start-up IT company is seeking an experienced PHP Developer to write relevant PHP code solutions that can be used in multiple projects in a…
65,Optum,Optum,Posted23 days ago,https://ie.indeed.com/cmp/Optum,Careers with Optum offer flexible work arrangements and individuals who live and work in the Republic of Ireland will have the opportunity to split their…
66,Microsoft,Microsoft,Posted30+ days ago,https://ie.indeed.com/cmp/Microsoft,"Work in a combined engineering organization to drive design, development, testing and release of web client / services that enhances customer experiences as…"
67,Microsoft,Microsoft,Posted30+ days ago,https://ie.indeed.com/cmp/Microsoft,"For the most important Azure services and products, Azure Reliability adopts the Site Reliability Engineering (SRE) approach, where skilled teams of software…"
68,Amazon DS Ireland Limited,Amazon DS Ireland Limited,Posted30+ days ago,https://ie.indeed.com/cmp/Amazon.com,"Graduated less than six months ago or about to complete a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, or related fields at time of…"
69,"Fiserv, Inc.","Fiserv, Inc.",Posted2 days ago,https://ie.indeed.com/cmp/Fiserv,"Assist in the implementation of technical solutions within a collaborative, high trust, solutions delivery team that will contain other developers, test and…"
70,The Coca-Cola Company,The Coca-Cola Company,Posted7 days ago,https://ie.indeed.com/cmp/The-Coca--cola-Company,Develops deep understanding of the technologies within our scope in order to closely partner with developers to resolve issues and accurately estimate work.
71,"Guidewire Software, Inc.","Guidewire Software, Inc.",Posted30+ days ago,"https://ie.indeed.com/cmp/Guidewire-Software,-Inc.","At the end of your internship, you will be able to present a new product capability to our consultants, partners, and leaders within Delivery Services, Sales,…"
72,Optum,Optum,Posted23 days ago,https://ie.indeed.com/cmp/Optum,"As Lead Developer, you will be a key part of driving development and testing of our Data Resolution and risk engine which is being built with an Agile approach."
73,Kianda Technologies jobs,Kianda Technologies,Posted3 days ago,https://ie.indeed.com/Kianda-Technologies-jobs,"If you have a technical background but would prefer to work with designing training solutions for clients without the need to code, this role could be for you."
74,Deloitte,Deloitte,Posted30+ days ago,https://ie.indeed.com/cmp/Deloitte,Deloitte will ensure any reasonable accommodations are implemented as part of the recruitment and selection process.
