,Job Title,Company,Date Posted,Post Link,Description
48,Software Engineer,Harvey Nash,Updated 08/05/2022,https://www.irishjobs.ie/Jobs/Software-Engineer-8774848.aspx,Experience with Python Kotlin Javascript Python Role: Mid-Level Software Engineer Location: Dublin Duration: Permanent (Full Time) java Harvey Nash are partnered with one of the largest and fastest - Role: Mid-Level Software Engineer - Location: Dublin - Duration: Permanent (Full Time) java
49,Senior Software Engineer- Machine Learning,Trust in Soda,Updated 05/05/2022,https://www.irishjobs.ie/Jobs/Senior-Software-Engineer-Machine-Learning-8781280.aspx,"My client is looking for a seasoned software engineer with a background in Java/Python/Scala that's working with Machine Learning. * Experience as a Software Developer with Java, Python or Scala - Java Python Machine Learning Data - My client is looking for a seasoned - Up to €140,000 - Are you passionate about ML/AI and cyber-security??"
50,Sr Software Development Engineer - Scalability Engineer,Workday,Updated 07/05/2022,https://www.irishjobs.ie/Jobs/Sr-Software-Development-Engineer-Scalability-8782735.aspx,"Data Science: jupyter notebooks, python, pandas - Do what you love. Love what you do. At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning - At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning into a single enterprise cloud."
51,Software Development Engineer,Workday,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Software-Development-Engineer-8783596.aspx,"5+ years experience developing in a modern programming language (Golang, Ruby, Python, Java 8+, or Scala) * 3+ years experience developing in a modern programming language (Golang, Ruby, Python, Java 8+, or Scala) Do what you love. Love what you do. At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning"
52,Sr. Software Development Engineer,Xilinx part of AMD,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Sr-Software-Development-Engineer-8776252.aspx,"Python Programming and Scripting is an advantage. What you do at AMD changes everything At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving - What you do at AMD changes everything - At AMD, we push the boundaries of what is possible."
53,Software Development Engineer,Workday,Updated 07/05/2022,https://www.irishjobs.ie/Jobs/Software-Development-Engineer-8782737.aspx,"3+ years shown ability in one of the following functional languages: Ruby, Go, or Python Do what you love. Love what you do. At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning"
54,Software Development Engineer - Deployment Tools,Workday,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Software-Development-Engineer-Deployment-Tools-8783599.aspx,"• You have 3+ years of programming experience with strong coding skills (Ruby, Python, Go). Do what you love. Love what you do. At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning"
55,Senior Data Engineer,Morgan McKinley,Updated 03/05/2022,https://www.irishjobs.ie/Jobs/Senior-Data-Engineer-8780064.aspx,"You will have a high level of expertise and experience in SQL, Python and Spark - Data Engineer Python Spark - Here we have another excellent opportunity for a - If you are looking for a fresh challenge for 2022 why not get in touch today. Here we have another excellent opportunity for a Senior Data Engineer with 8+ Years Experience"
56,Software Developer II,Overstock Ireland Ltd,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Software-Developer-II-8780809.aspx,"Ideally experience with Java but Scala/Python will also be considered - Overstock Ireland, based in Sligo, is the European software development hub for a technology driven online retailer. The Software Developer II"
57,Senior Software Engineer - Fully Remote,Archer Recruitment,Updated 05/05/2022,https://www.irishjobs.ie/Jobs/Senior-Software-Engineer-Fully-Remote-8772895.aspx,"Cloud native product Fully remote Cutting edge tech stack: Python/ Node.js, AWS and Azure This software engineering opportunity * Cutting edge tech stack: Python/ Node.js, AWS and Azure * 4 + years’ experience in Python/ Node.js Python AWS Microservices node.js * Cloud native product * Fully remote"
58,Site Reliability Engineer,Computer Futures,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Site-Reliability-Engineer-8783897.aspx,"Programming experience in Java, Python, C, C++ What's the role: Do you share our Clients passion for high availability, want to build highly scalable and available systems? As a Reliability - Do you share our Clients passion for high availability, want to build highly scalable and available systems?"
59,Golang Developer,Reperio Human Capital Ltd,Updated 08/05/2022,https://www.irishjobs.ie/Jobs/Golang-Developer-8774976.aspx,Python or Go dev experience - Golang Python Developer Engineer Ireland Remote - Location - Ireland/Europe/Remote - Permanent Full-Time - Job Description - I am working with an innovative venture-backed cyber security start-up who are looking for a Golang Developer to joint their growing team in Ireland. * Experience of APIs design and implementation
60,Cloud Infrastructure Engineer,Reperio Human Capital Ltd,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Cloud-Infrastructure-Engineer-8783539.aspx,Strong scripting in bash/python/perl - This is a chance to join a well established and secure organisation who are investing heavily in a company wide digital transformation.
61,Sr Software Development Engineer - Workday Learning,Workday,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Sr-Software-Development-Engineer-Workday-8782595.aspx,"Deep knowledge of one or more major programming languages including Java, Javascript, Kotlin, or Python Do what you love. Love what you do. At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning"
62,Senior Test Engineer - Dublin city centre,ICDS Recruitment,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Senior-Test-Engineer-Dublin-city-8784033.aspx,• Python programming - In this role you will join a fast-growing team supporting the development and test of 5G ORAN Radio Unit - In this role you will join a fast-growing team supporting the development and test of 5G ORAN Radio Unit [O-RU] products.
63,Software Developer - NodeJS,Harvey Nash,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Software-Developer-NodeJS-8782516.aspx,"Experience with backend languages such as Nodejs, C#, Scala or python. Senior Software Engineer - Backend My client is building a suite of insurance products and one of the best AI-driven recommendation systems. Software - Senior Software Engineer - Backend - My client is building a suite of insurance products and one of the best AI-driven recommendation systems."
64,Numerical Software Developer,EOLAS – IT RECRUITMENT SPECIALISTS JOBS,Updated 05/05/2022,https://www.irishjobs.ie/Jobs/Numerical-Software-Developer-8781122.aspx,They work in Python environment but they will look at candidates who have a strong C++ or Java backgrounds as long as you are happy in Python. Python Software Developer Analyst Programmer Software Engineer Numerical Developer
65,Design/Verification Engineer,Xilinx part of AMD,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Design-Verification-Engineer-8776249.aspx,"Familiarity with scripting languages: Python, Tcl, Perl - Xilinx is now part of Advanced Micro Devices (AMD). At AMD, we push the boundaries of what is possible. We believe in changing the world for the"
66,Back End Developer,Berkley Recruitment Group,Updated 04/05/2022,https://www.irishjobs.ie/Jobs/Back-End-Developer-8780801.aspx,"Experience programming in Golang (Go) or Python. Cork My client, a US based software company with a large operation here in Cork are looking to hire multiple Back End Developers to join their team. * Work closely with the team to design, code and test robust, scalable, loosely coupled components which integrate into public & private cloud infrastructures."
67,Senior AWS Platform Engineer,Morgan McKinley,Updated 01/05/2022,https://www.irishjobs.ie/Jobs/Senior-AWS-Platform-Engineer-8772378.aspx,"This is a hands-on developer role, you must be skilled in deploying and supporting your own production ready code in AWS, as well as automating the build and management of a a variety of cloud infrastructure in AWS, preferably in Python. Tech Stack: AWS, Python, Linux, Chef - AWS Platform Engineer - Contract €500-600/day - Perm €80-€100K + Benefits - 90% Remote / Dublin CC"
68,Graduate Verification Engineer,Xilinx part of AMD,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Graduate-Verification-Engineer-8776253.aspx,"Knowledge of scripting languages (Perl/Python) would be an advantage. What you do at AMD changes everything At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving - What you do at AMD changes everything - At AMD, we push the boundaries of what is possible."
69,Platform Operations Analyst - Fully Remote,REALTIME recruitment,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Platform-Operations-Analyst-Fully-Remote-8783225.aspx,"Scripting experience such as SQL, Powershell, Bash, Python etc - Realtime have a fantastic opportunity for a Platform Operations Analyst for a globally recognised client. Our client is an award winning figure in the"
70,Senior Data Engineer - Day rate Contract,EOLAS – IT RECRUITMENT SPECIALISTS JOBS,Updated 04/05/2022,https://www.irishjobs.ie/Jobs/Senior-Data-Engineer-Day-rate-8780515.aspx,"Be familiar with the the likes of : Python, SQL, Microsoft stack (Power BI). Data Engineer - Day Rate Contract Role Our client is one of the most attractive Employers to work for in are looking for a Data Engineer to join their - Data Engineer - Day Rate Contract Role"
71,Software Engineer - Big Data DevOps,Workday,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Software-Engineer-Big-Data-DevOps-8782601.aspx,"Proficiency in programming and scripting languages such as Java, Scala, Ruby, Python or Perl - Do what you love. Love what you do. At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning"
72,XUP Engineering Intern,Xilinx part of AMD,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/XUP-Engineering-Intern-8776242.aspx,"Experience with PYNQ and Python would be an advantage. What you do at AMD changes everything At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving - What you do at AMD changes everything - At AMD, we push the boundaries of what is possible."
73,Senior/Principal Software Engineer - Distributed Systems,Workday,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Senior-Principal-Software-Engineer-Distributed-8783597.aspx,"7+ years of distributed systems engineering experience utilizing one or more of the following: Java, Scala, Python, Golang * Strong coding skills(Java/Scala/Python/Go). * 5+ years of distributed systems engineering experience utilizing one or more of the following: Java, Scala, Python, Golang - Do what you love. Love what you do."
74,Senior Cloud DevOps Engineer,PTC SSI Designated Activity Company,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Senior-Cloud-DevOps-Engineer-8780448.aspx,Coding experience using Bash/Python/Ruby - We're - Dublin - Hybrid working - It's fun to work in a company where people truly BELIEVE in what they're doing! We're committed to bringing passion and customer focus to the business. The Atlas R&D team is building the platform to support PTC’s world class SaaS Applications.
75,Graduate Verification Engineer,Xilinx part of AMD,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Graduate-Verification-Engineer-8776254.aspx,"Knowledge of scripting languages (Perl/Python) would be an advantage. What you do at AMD changes everything At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving - What you do at AMD changes everything - At AMD, we push the boundaries of what is possible."
76,Sr. Software Development Engineer in Test (UI),Workday,Updated 05/05/2022,https://www.irishjobs.ie/Jobs/Sr-Software-Development-Engineer-in-8781873.aspx,"Experience with Python and Robot automation framework (nice to have) Do what you love. Love what you do. At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning - At Workday, we help the world's largest organizations adapt to what's next by bringing finance, HR, and planning into a single enterprise cloud."
