"Address,""Port"",""Packets"",""Bytes"",""Tx Packets"",""Tx Bytes"",""Rx Packets"",""Rx Bytes"""
"192.168.3.131,57147,6,336,4,216,2,120"
"207.46.105.186,5480,10,1054,4,325,6,729"
"192.168.3.131,58769,9,1362,4,332,5,1030"
"192.168.3.131,57204,6,336,4,216,2,120"
"192.168.3.131,57203,6,336,4,216,2,120"
"192.168.3.131,57202,6,336,4,216,2,120"
"192.168.3.131,57198,8,456,4,216,4,240"
"69.63.181.15,80,8,456,4,240,4,216"
"192.168.3.131,57192,8,456,4,216,4,240"
"192.168.3.131,57205,6,336,4,216,2,120"
"192.168.3.131,57201,6,336,4,216,2,120"
"192.168.3.131,57186,6,336,4,216,2,120"
"69.63.181.15,5480,8,456,4,240,4,216"
"192.168.3.131,57180,6,336,4,216,2,120"
"192.168.3.131,57213,6,336,4,216,2,120"
"192.168.3.131,57176,6,336,4,216,2,120"
"192.168.3.131,57174,6,336,4,216,2,120"
"192.168.3.131,57191,6,336,4,216,2,120"
"192.168.3.131,57229,8,456,4,216,4,240"
"184.24.133.32,80,7,1634,3,702,4,932"
"184.24.143.139,80,7,1168,3,443,4,725"
"192.168.3.131,56161,11,2690,3,174,8,2516"
"198.104.200.146,80,8,1045,3,364,5,681"
"192.168.3.131,56317,11,2690,3,174,8,2516"
"192.168.3.131,56323,7,1152,3,174,4,978"
"192.168.3.131,56356,11,2689,3,174,8,2515"
"192.168.3.131,56361,7,1152,3,174,4,978"
"192.168.3.131,56494,6,1165,3,174,3,991"
"208.50.77.73,80,9,504,3,180,6,324"
"208.50.77.73,5480,9,504,3,180,6,324"
"208.50.77.97,80,9,504,3,180,6,324"
"208.50.77.97,5480,9,504,3,180,6,324"
"198.104.200.146,5480,8,1045,3,364,5,681"
"172.16.255.1,10704,3,194,3,194,0,0"
"172.16.255.1,10705,3,194,3,194,0,0"
"65.55.206.209,80,6,1099,2,410,4,689"
"192.168.3.131,57721,6,434,2,108,4,326"
"192.168.3.131,57038,3,168,2,108,1,60"
"192.168.3.131,56050,4,246,2,120,2,126"
"192.168.3.131,58362,3,186,2,120,1,66"
"72.14.213.105,80,4,228,2,120,2,108"
"192.168.3.131,57838,4,228,2,108,2,120"
"72.14.203.102,80,4,228,2,120,2,108"
"192.168.3.131,57878,4,228,2,108,2,120"
"192.168.3.131,57071,4,228,2,108,2,120"
"72.14.213.167,80,4,228,2,120,2,108"
"192.168.3.131,57032,4,228,2,108,2,120"
"10.0.2.15,2489,2,108,2,108,0,0"
"172.16.255.1,10623,2,132,2,132,0,0"
"172.16.255.1,10628,2,132,2,132,0,0"
"172.16.255.1,10629,2,132,2,132,0,0"
"172.16.255.1,10631,2,132,2,132,0,0"
"192.168.3.131,57885,4,228,2,108,2,120"
"192.168.3.131,57888,4,228,2,108,2,120"
"192.168.3.131,57895,4,228,2,108,2,120"
"192.168.3.131,57894,4,228,2,108,2,120"
"192.168.3.131,57892,4,228,2,108,2,120"
"192.168.3.131,57890,4,228,2,108,2,120"
"192.168.3.131,57898,4,228,2,108,2,120"
"192.168.3.131,57886,4,228,2,108,2,120"
"192.168.3.131,57893,4,228,2,108,2,120"
"192.168.3.131,57883,4,228,2,108,2,120"
"192.168.3.131,57887,4,228,2,108,2,120"
"192.168.3.131,57881,4,228,2,108,2,120"
"192.168.3.131,57900,4,228,2,108,2,120"
"192.168.3.131,57879,4,228,2,108,2,120"
